Designator,Mid X,Mid Y,Layer,Rotation
C2,49.139599,-33.8234,bottom,-90
C3,114.650099,-41.4434,bottom,0
C4,113.147599,-55.6674,bottom,0
C5,69.9516,-30.9024,bottom,90
C6,114.445599,-52.2384,bottom,0
C7,114.445599,-45.2534,bottom,180
C8,54.219599,-33.8234,bottom,90
C9,111.115599,-41.4434,bottom,0
C10,114.671599,-42.9674,bottom,0
C11,99.939599,-54.1434,bottom,-90
C12,99.939599,-43.4754,bottom,90
C13,51.679599,-33.8234,bottom,-90
C14,75.3846,-36.9334,bottom,180
C15,76.416599,-38.9034,bottom,180
C16,76.416599,-40.8734,bottom,180
C17,75.3846,-42.8434,bottom,180
C18,51.425599,-55.9214,bottom,0
C19,51.425599,-48.301399,bottom,0
C20,51.425599,-52.1114,bottom,0
C21,65.903599,-30.9024,bottom,90
C22,67.9196,-30.9024,bottom,90
C23,51.425599,-54.016399,bottom,0
C25,51.425599,-50.2064,bottom,0
J2,104.130599,-57.3184,bottom,-90
J3,38.725599,-26.8384,bottom,-90
R4,114.655599,-38.9034,bottom,0
R5,37.301522,-51.249477,bottom,135
R6,42.20456,-55.998439,bottom,135
R7,114.290599,-54.1434,bottom,0
R27,48.250599,-44.6184,bottom,0
R28,48.250599,-42.0784,bottom,0
R29,42.689676,-45.861323,bottom,135
R30,47.592714,-50.610285,bottom,135
R31,39.995599,-48.5554,bottom,135
R32,44.898637,-53.304362,bottom,135
R33,38.648561,-49.902438,bottom,135
R34,43.551599,-54.6514,bottom,135
R37,41.342637,-47.208362,bottom,135
R38,46.245675,-51.957324,bottom,135
SW1,110.353599,-31.5374,bottom,135
TP5,83.770599,-31.943084,bottom,0
TP10,83.7692,-29.3784,bottom,0
TP11,86.310599,-29.403084,bottom,0
TP12,88.810599,-29.403084,bottom,0
TP14,86.310599,-31.943084,bottom,0
TP15,88.850599,-31.943084,bottom,0
TP21,48.250599,-57.3184,bottom,-90
U1,83.0946,-39.5384,bottom,-90
U2,67.9196,-39.6034,bottom,-90
U3,43.170599,-32.5534,bottom,90
U6,75.2896,-31.5266,bottom,180
U8,97.780599,-30.0134,bottom,180
Y1,114.460599,-48.6434,bottom,90
C1,114.3508,-38.9034,top,0
J1,109.838823,-31.990177,top,135
J5,58.410599,-30.6484,top,0
J6,75.530199,-23.6634,top,0
J7,75.555599,-60.0362,top,0
JP1,50.612799,-53.3741,top,0
JP6,50.612799,-55.1521,top,0
JP7,50.612799,-56.9301,top,0
R1,106.543599,-39.3219,top,-90
R2,107.559599,-39.3219,top,-90
R3,65.8876,-40.0304,top,90
R8,65.8876,-35.4904,top,90
R9,65.8876,-31.0454,top,90
R10,82.1436,-40.0624,top,90
R11,82.1436,-35.9664,top,90
R12,84.1756,-40.0464,top,90
R13,84.1756,-35.9824,top,90
R14,86.2076,-40.0464,top,90
R15,86.2076,-35.9824,top,90
R16,88.2396,-40.0464,top,90
R17,88.2396,-35.9824,top,90
R18,67.9196,-35.4904,top,90
R19,67.9196,-31.0454,top,90
R20,63.8556,-35.4904,top,90
R21,63.8556,-31.0454,top,90
R22,74.539599,-40.0304,top,-90
R23,72.507599,-40.0304,top,-90
R24,76.571599,-40.0304,top,-90
R25,63.8556,-40.0304,top,90
R26,67.9196,-40.0464,top,90
R35,93.970599,-40.1734,top,-90
R36,92.065599,-40.1734,top,-90
R39,88.255599,-30.6484,top,90
R40,86.350599,-30.6484,top,90
R41,84.445599,-30.6484,top,90
R42,82.540599,-30.6484,top,90
TP1,105.970915,-26.2034,top,-90
TP2,103.390915,-26.2034,top,-90
TP3,100.890915,-26.2034,top,-90
TP4,98.415599,-26.2034,top,-90
TP6,35.550599,-46.5234,top,90
TP7,35.550599,-43.9834,top,90
TP13,35.550599,-41.4834,top,90
TP16,115.687599,-55.0578,top,90
U4,42.408599,-50.9684,top,0
U5,44.415199,-29.4038,top,0
U9,106.665599,-48.4334,top,0
U12,44.440599,-38.2684,top,0
U13,60.950599,-50.3334,top,0
U14,75.946999,-50.3334,top,0
U15,90.795599,-50.3334,top,0